编号,中文,英语,定义,注释
2.2.5.2,城市水文学,urban hydrology,研究发生在主要由几乎不透水地面和人工地形所构成的城市地区，受城市发展影响的水文现象的学科。,
2.2.5.3,农业水文学,agricultural hydrology,研究水分－土壤－植物系统中与作物生长有关的水文现象，特别是植物散发和土壤水运 动规律的学科。,
2.2.5.4,森林水文学,forest hydrology,研究森林在水文循环中的作用机制，即森林的水文效应的学科。,注：主要包括森林对降水、蒸发、径流形成、水质等的影响。
2.2.6,生态水文学,ecohydrology,研究水文循环与生态系统的相互作用的学科，这种相互作用可以发生在河流、湖泊等水体中，也可发生在森林、沙漠、其它陆地生态系统等陆面上。,注：内容主要包括蒸散与植物用水，生物体对水环境的适应性，植被对河川径流与河流功能的影响，；以及生态过程与水文循环之间的反馈机制等。
2.2.7,环境水文学,environmental hydrology,研究人类活动引起的水文情势变化及其与环境之间的相互关系的学科。,
2.2.8,同位素水文学,isotope hydrology,利用同位素的示踪特性研究和观测水文现象的学科。,注：可应用于对水文循环中的水分运动过程进行描述，测定水分的年代和来源，估算水量，监测水体；污染源等。
2.2.9,随机水文学,stochastic hydrology,研究既含确定性成分又含随机性成分的水文现象的学科。,
2.2.10,河流动力学,river dynamics,研究河道水流、泥沙运动和河床演变力学规律及其应用的学科。,
2.3.1,水文循环,hydrological cycle,水循环 water cycle 地球上的水分通过蒸发、水汽输送、降水、截留、下渗、渗透、径流、土壤或水体中蓄 积等过程不断转化、迁移的现象。,
2.3.1.1,全球水循环,global hydrological cycle,海洋水、陆地水、大气水之间的水量交换现象。,
2.3.1.2,海陆水循环,） hydrological cycle between ocean and continent,,
2.3.1.3,陆地小循环,hydrological cycle between land and atmosphere,,注：陆地上的水蒸发进入大气，然后再通过降水回到陆地上。回到陆地上的水一部分形成径流进入陆；地水体，其余的再以蒸发形式返回陆地上空的大气。
2.3.1.4,海洋小循环,hydrological cycle between ocean and atmosphere,,注：海洋上的水蒸发进入大气，然后再通过降水回到海洋里，回到海洋里的水是没有径流的。
2.3.1.5,人工侧支水循环,human-induced lateral hydrological cycle,通过人工外力干预，在自然水循环过程中形成的以取水、输水、配水、用水、排水、回 归、再生利用等环节构成的水循环过程。,
2.3.1.6,二元水循环,dualistic hydrological cycle,由自然水循环和人工侧支水循环相互作用形成的水循环过程。,
2.3.2,水量平衡,water balance，water budget,一定区域在一定时段内，输入水量与输出水量之差等于该区域的蓄水变量。,
2.3.3,全球水平衡,global water balance,通过全球水循环，平均每年从陆地和海洋蒸发的水量等于平均每年降到地球表面的降水量。,注：质量守衡定律在全球水循环中的特定表现形式。
2.3.4,大气水汽含量,atmospheric water vapor content,,注：通常以单位截面积气柱中所含水汽全部凝结成液态水时在气柱内形成的相当水深来表示。；；；；；；；；
2.3.5,水汽输送,water vapor transport,大气中的水分随气流从一个区域输送到另一区域，或从低（高）空输送到高（低）空的 现象。,
2.3.6,水汽通量,water vapor flux,单位时间内通过单位面积所输送的水汽量。,注：水平输送的水汽通量指单位时间流经单位垂直面积的水汽量，垂直输送的水汽通量指单位时间流；经单位水平面积的水汽量。
2.3.7,水汽通量散度,flux divergence of water vapor,单位时间汇入单位体积或从单位体积辐散出去的水汽量。,
2.3.7.1,水汽源,source of water vapor,,注：表示水汽自该区域向四周辐散。
2.3.7.2,水汽汇,sink of water vapor,,注：表示水汽从四周向该区域汇入。
2.3.7.3,水汽辐合区,convergence zone of water vapor,水汽从四周向内汇集的区域。,
2.3.7.4,水汽辐散区,divergence zone of water vapor,,
2.3.8,降水,precipitation,大气中的水汽冷凝并以液态或固态形式降落到地表的现象。,注：主要包括雨、雪、霰、雹等。；；；；；；；；；
2.3.8.1,人工降水,artificial precipitation,用人工催化方法促成云层产生降水、增加降水或改变降水分布的措施。,
2.3.9,雨,rain,液态降水。,
2.3.10,降雨,rainfall,大气中冷凝的水汽以液态形式降落到地面的现象。,
2.3.10.1,降雨面积,rainfall area,降雨笼罩的地表面积。,
2.3.10.2,降雨分布,rainfall distribution,降雨量在时间和空间上的变化情况。,
2.3.10.3,雨季,rainy season,降水比较集中的湿润多雨季节。,
2.3.11,雪,snow,由冰晶或冰晶碎屑聚合而形成的固态降水。,
2.3.11.1,积雪,snow cover,覆盖在地表的雪层。,
2.3.11.2,融雪,snowmelt,雪转变为液态水的现象。,
2.3.11.3,永久积雪,firn,在地球的高纬度或高山降雪量多于融雪量的地区所长期积存的雪。,注：这些积雪在融化和再冻过程，包括升华和结晶的反复作用下逐渐变成了颗粒状，且密度不断增大。
2.3.12,霰,graupel,由白色不透明的球形或锥形颗粒组成的固态降水。,注 1：直径约 2～5mm。；注 2：俗称软雹、雪丸。
2.3.13,雹,hail,从对流云中降落的由透明和不透明冰粒相间组成的固态降水。,注：俗称雹子、冷子、冷蛋子、响雨等。
2.3.14,蒸发,evaporation,在温度低于沸点的条件下，水从液态变为气态的现象。,
2.3.15,流域总蒸发,total evaporation from basin,流域内水面蒸发、土壤蒸发和植物蒸腾的总称。,
2.3.15,流域蒸散发,evapotranspiration from basin,流域内水面蒸发、土壤蒸发和植物蒸腾的总称。,
2.3.15,陆面蒸发,land evaporation,流域内水面蒸发、土壤蒸发和植物蒸腾的总称。,
2.3.15.1,水面蒸发,evaporation of water surface,在温度低于沸点的条件下，从自由水面逸出水汽的现象。,
2.3.15.2,土壤蒸发,evaporation from soil,,
2.3.15.3,蒸腾,transpiration,植物中的水分以水汽形式转移到大气中的现象。,
2.3.16,蒸发能力,potential evaporation,有充分供水条件下，单位时段内流域总蒸发的水量。,
2.3.17,截留,interception,降水被植物枝叶拦截，并致被拦截降水在未到达地表就消耗于蒸发的现象。,注：植物枝叶截留量包括两个部分，一是降水过程中从植物枝叶表面蒸发的降水量，二是降水终止时；枝叶上存留的水量。
2.3.18,填洼,depression detention,降水充填、滞蓄于地面坑洼的现象。,
2.3.19,地面滞留,surface detention,降雨期间部分降雨滞留在地表，并在降雨结束后以径流的形式流失或是下渗的现象。,注：不包括填洼的降雨量。
2.3.19.1,保水指数,storage capacity of rainfall,在植被生长季节，集水区植被保蓄降雨的能力。,
2.3.20,地面滞蓄,surface retention,部分降水滞留在地表，不是以径流的形式流失或是下渗，而是消耗于蒸散发的现象。,
2.3.21,下渗,infiltration,入渗 水透过地表进入土壤和岩石孔隙的现象。,注：下渗状况可用下渗率和下渗能力来定量表示。
2.3.21.1,下渗率,infiltration rate,单位时间通过单位地表面积渗入土壤的水量。,
2.3.21.2,下渗能力,infiltration capacity,在充分供水和一定下垫面条件下的最大下渗率。,
2.3.21.3,稳渗,stable infiltration,水向土壤和岩石空隙入渗的稳定阶段。,注：当土壤和岩石孔隙被水充满，并达到饱和时，入渗水在重力作用下呈饱和水流运动，入渗水量不；再随降雨历时的延长而变化，下渗率维持稳定。
2.3.32,渗透,percolation,土壤和岩石孔隙中的水在重力作用下，通过非饱和多孔介质的现象。,
2.3.23,径流,runoff,陆地上沿不同途径向河流、湖泊、水库、沼泽、含水层、海洋等水体汇集的部分降水。,注：联合国教科文组织（UNESCO）和世界气象组织（WMO）联合发布的《国际水文学术语 第 3 版》；（2012 年）中“径流”术语的定义：沿着地表或是透过土壤流向河流的部分降水。
2.3.24,地表径流,surface runoff,沿着地表向河流、湖泊、水库、沼泽、海洋等水体汇集的那部分降水。,
2.3.25,壤中流,subsurface runoff；interflow,沿着包气带向河流、湖泊、水库、沼泽、海洋等水体汇集的那部分降水。,注：联合国教科文组织（UNESCO）和世界气象组织（WMO）联合发布的《国际水文学术语 第 3 版》（2012 年）中“壤中流”术语的定义：未下渗到潜水位以下，但从地表以下以浅表层水流形式流入河流的部分降水。
2.3.26,直接径流,direct runoff；direct flow,降水发生后立即流入河道的那部分降水。,
2.3.27,雨洪径流,storm runoff,,
2.4.1,气象要素,meteorological element,表征一定地点和特定时刻天气状况的大气变量或现象。,注：如气温、气压、湿度、风、降水、云雾、能见度等。
2.4.2,气候,climate,以某一地区气象要素长期统计特征描述的天气状况的综合表现。,
2.4.2.1,气候区划,climatic regionalization,按一定指标将全球或某一地区划分为若干气候特征相似的区域。,
2.4.2.2,气候带,climatic zone,根据气候要素或气候因子的带状分布特征而划分的纬向带。,注 1：有极地气候区、温带气候区、副热带气候区、热带气候区、赤道气候区等。注 2：气候要素主要包括气温、降水量、风等。；注 3：气候因子主要包括辐射因子，大气环流因子，以及地理纬度、海陆分布、海拔高程、陆面性质；与地形方位等地理因子。
2.4.2.3,气候变化,climate change,长时期内气候平均状态随时间的变化。,注 1：通常用不同时期的温度和降水等气候要素的统计量的差异来反映。；注 2：长时期一般指 30 年或更长。
2.4.2.4,小气候,microclimate,由于下垫面性质以及人类和生物活动影响而形成的近地层大气的小范围气候。,注：近地层大气包括贴地层和土壤上层。
2.4.3,天气,weather,某一时间某一地区以各种气象要素所确定的大气状况。,
2.4.4,大气环流,atmospheric circulation,大气层具有一定稳定性的各种气流运行的综合现象。,注：一般指给定时段内大范围大气运动的基本状况。
2.4.5,天气形势,synoptic situation,天气图上温压场等配置所显示的大范围环流型与天气系统的分布状况。,
2.4.6,天气过程,synoptic process,天气系统及其相伴天气的发生、发展和消失的全部过程。,注：如降水天气过程、暴雨天气过程、大风天气过程、梅雨天气过程等。
2.4.7,天气系统,synoptic system,伴随一定天气的大气运动形式，诸如气旋、反气旋、锋面、切变线等的统称。,
2.4.8,行星尺度天气系统,planetary scale system,水平尺度与地球半径同量级（3000～10000km），时间尺度为 3d 以上的天气系统。,注：如沿地球纬向运动的西风带、低纬度东风带、热带辐合带、副热带高压脊和高空长波槽等。
2.4.8.1,副热带高压,subtropical high,中心位于副热带地区的暖性高压系统。,
2.4.8.2,阻塞高压,blocking high,西风带高压脊上发展形成的缓慢移动或呈准静止状态的闭合高压。造成西风带分支，对 天气系统的移动有阻塞作用。,
2.4.8.3,西风带,westerlies,,注：一般位于纬度 35°～70°之间，在对流层中上部和平流层下部特别明显。
2.4.8.4,西风槽,westerly trough,中高纬度绕极地的波状西风气流中的波槽，通常向东移动。,
2.4.9,天气尺度天气系统,synoptic scale system,水平尺度为 1000～3000km，时间尺度为 1～3d 的天气系统。,注：如低空急流、锋面、低涡、台风等。
2.4.9.1,低空急流,low-level jet stream,对流层下部距地面 1000～4000m 层中的一支低空强风带。,
2.4.9.2,气团,air mass,温度、湿度和大气静力稳定度等物理属性水平分布比较均匀的大范围气块。,
2.4.9.3,锋,front,锋面 frontal surface 温度或密度差异很大的两个气团之间的界面，通常有冷锋、暖锋之分。,
2.4.9.4,低涡,vortex,高空天气图上的气旋性涡旋。,注：中心气压比四周为低，在北半球涡旋周围的风呈逆时针方向旋转。
2.4.9.5,东风波,easterly wave,热带地区稳定深厚东风气流中由东向西移动的一种波状扰动。,
2.4.9.6,气旋,cyclone,大气流场中，在北（南）半球呈逆（顺）时针旋转的大型涡旋。,注：在气压场上表现为低气压。
2.4.9.6,低压槽,trough,大气流场中，在北（南）半球呈逆（顺）时针旋转的大型涡旋。,注：在气压场上表现为低气压。
2.4.9.7,反气旋,anticyclone,高空脊 upper-level ridge 大气流场中，在北（南）半球呈顺（逆）时针旋转的大型涡旋。,注：在气压场上表现为高气压。
2.4.9.8,切变线,shear line,风场中的一条不连续线，两侧的风矢量平行于该线的分量有突变。2.4.10 中尺度系统 mesoscale system 水平尺度为 10～300km，时间尺度为 1～10h 的天气系统。,注：如强风暴天气、暴雨、冰雹等。
2.4.11,小尺度系统,microscale system,水平尺度为 2～20km，时间尺度为 10min～3h 的天气系统。,注：如龙卷、积云等。
2.4.12,风暴潮,storm surge,由热带气旋、温带气旋、冷锋的强风作用和气压骤变等强烈天气系统引起的水面异常升降现象。,
2.4.13,风暴中心,storm center,伴有强风、强降水等强烈天气的天气系统的中心地区。,注：如低涡中心、气旋波中心等。
2.4.14,热带气旋,tropical cyclone,发生在热带或副热带洋面上，具有有组织的对流和确定气旋性环流的非锋面性涡旋的统称。,注：包括热带低压、热带风暴、强热带风暴、台风（强台风和超强台风）的统称。
2.4.14.1,热带低压,tropical depression,中心附近最大风力达 6～7 级的热带气旋。,
2.4.14.2,热带风暴,tropical storm,中心附近最大风力达 8～9 级的热带气旋。,
2.4.14.3,强热带风暴,severe tropical storm,中心附近最大风力达 10～11 级的热带气旋。,
2.4.14.4,台风,typhoon,发生在西北太平洋和南海，中心附近最大风力达 12～13 级的热带气旋。,注：1988 年底以前，我国曾规定中心附近最大风力达 8 级或以上的热带气旋为台风。
2.4.14.5,强台风,severe typhoon,中心附近风力等级达到 14～15 级的台风。,
2.4.14.6,超强台风,super typhoon,中心附近风力等级大于 16 级或以上（风速大于等于 51.1m/s）的台风。,
2.4.15,热带,tropical zone,一般指南、北纬 26°纬圈之间的广大低纬地区。,注：这一带常出现热带风暴、东风波等热带天气系统。
2.4.16,副热带,subtropical zone,亚热带 一般指南、北纬 26°～40°纬圈之间的地区，为热带和温带间的过渡带。,注：副热带高压基本控制着这一带的天气和气候。
2.4.17,温带,temperate zone,一般指南、北纬 40°～60°纬圈之间的地区，盛行西风气流。2.4.18 寒带 frigid zone            泛指南、北半球极圈以内的地区。2.4.19 季风 monsoon 大范围盛行风向随季节有显著变化的现象。,注：如中国东部夏季盛行东南风，冬季盛行西北风。
2.4.20,梅雨,plum rain,初夏中国江淮流域或日本南部一带经常出现的雨期较长的连阴雨天气。,注：由于这段时间正是江南梅子的成熟期，故此时段便被称作梅雨季节。
2.4.21,暴雨,rainstorm；storm,降雨强度和降雨量均相当大的降雨。,注 1：1h 内降雨量等于或大于 16mm，或连续 12h 降雨量等于或大于 30mm，或连续 24h 降雨量等于或大于 50mm 的降雨。；注 2：按降雨强度大小，暴雨又分为三个等级，即 24h 降雨量大于或等于 50mm 称暴雨；100～200mm；称大暴雨；200mm 以上称特大暴雨。
2.4.22,地形雨,orographic rain,由于地形抬升作用而形成的降雨。,注：迎面坡雨量大，背面坡雨量小。
2.4.23,台风雨,typhoon rain,,注：降雨强度和降雨量都很大。
2.4.24,热带气旋雨,tropical cyclone rain,,
2.4.25,雷暴,thunderstorm,由于强积雨云引起的伴有雷电活动和阵性降水的局地风暴。,注：有时还伴有冰雹和龙卷风。
2.4.26,温室效应,greenhouse effect,低层大气由于对长波和短波辐射的吸收特性不同而引起的增温现象。,注 1：大气对于地球的保暖作用的俗称。；注 2：大气对于太阳短波辐射有较好的透过率，但对于红外长波辐射则有相当程度的吸收，使地面及大气下层增温。；注 3：大气中具有温室效应的微量气体有 CO2、CH4、N2O 等 30 余种。
2.4.27,卫星云图,satellite cloud picture,由星载仪器自上而下观测到的地球上的云层覆盖和地球表面特征的图像。,
2.4.28,气压,atmospheric pressure,大气压强的简称。通常用单位横截面积上所承受的铅直气柱的重量表示。,
2.4.29,海平面气压,sea-level pressure,由本站气压推算到平均海平面高度上的气压值。,
2.4.30,气温,air temperature,表征空气冷热程度的物理量。,注：在我国指百叶箱中离地面 1.5m 高处的温度表所测得的空气温度。
2.4.31,地温,ground temperature,地面和不同深度土层的温度的统称。,
2.4.32,湿度,humidity,表征空气中水汽含量的物理量。,注：常用水汽压、相对湿度、饱和差、露点等物理量来表示。
2.4.32.1,水汽压,water vapor pressure,空气中水汽的分压强。,
2.4.32.2,饱和水汽压,saturation water vapor pressure,一定温度和气压下，湿空气达到饱和时的水汽压。,
2.4.32.3,绝对湿度,absolute humidity,单位体积空气中含有的水汽质量。,注：即空气中水汽的密度，以 g/m3 为单位。
2.4.32.4,相对湿度,relative humidity,空气中水汽压与饱和水汽压的百分比。,
2.4.32.5,饱和差,saturation deficit,某一温度和气压下的饱和水汽压与实际水汽压的差值。,
2.4.32.6,比湿,specific humidity,一团湿空气中的水汽质量与湿空气的总质量之比。,
2.4.32.7,温度,] dew point [temperature],在不改变气压和水汽含量情况下，把纯水面附近的空气冷却达到饱和时的温度。,注：即空气中所含的气态水达到饱和而凝结成液态水所需要降至的温度。
2.4.33,风,wind,空气相对于地面的水平运动。,注：用风向、风速（或风级）表示。
2.4.33.1,风向,wind direction,,注：一般地面观测用 16 个方位，高空观测用 360°水平方位角表示。
2.4.33.2,风速,wind speed,单位时间内空气水平移动的距离。,注：气象上对空气移动速度以瞬时风速和时段平均风速表示。
2.4.33.3,蒲福风级,Beaufort wind scale,"""英国人 F.浦福（Francis Beaufort, 1774-1857）于 1805 年根据风对地面物体或海面的影响程度而定出的风力等级。""",
2.4.34,露,dew,空气中水汽凝结在地物上的液态水。,注：当气温在 0℃以上、近地面空气中的水汽因地面或地物表面散热降温而达到饱和时，在地面或地；物表面凝结形成的水滴。
2.4.35,雾,fog,近地层空气中悬浮的大量微小水滴或冰晶微粒的集合体，使水平能见度降低到 1km 以下的天气现象。,
2.4.36,霜,frost,夜间地面冷却到 0℃以下时，空气中的水汽凝华在地面或地物上的冰晶。,
2.4.36.1,霜点,frost point,空气等压冷却到 0℃以下，使空气中的水汽（对冰面）达到饱和时的温度。,
2.4.36.2,霜冻,frost injury,日平均气温在 0℃以上，而夜间地面温度降低到 0℃以下，致使农林作物遭受冻害现象的统称。,
2.4.36.3,无霜期,frost-free period,一年中终霜日至初霜日之间的持续日数。,注：终（初）酸日通常指地面最低温度大于 0℃的最后（最初）的一日。；；；；；；；；；；；
2.5.1,流域,watershed；basin；catchment；drainage basin；river basin,陆地上被分水岭所包围的区域，该区域内由降水形成的地表直接径流在重力作用下汇入河流或其它水体。,
2.5.1.1,分水线,divide line,,注：山峰、山脊和鞍部的连接线构成。
2.5.1.2,分水岭,topographic divide；drainage divide,,注：径流从这里流向两个相反的方向。
2.5.1.3,闭合流域,enclosed watershed,地表水集水区与地下水集水区重合的流域。,
2.5.1.4,不闭合流域,non-enclosed watershed,地表水集水区与地下水集水区上不重合的流域。,
2.5.1.5,外流流域,exorheic watershed,径流直接或间接流入海洋的流域。,
2.5.1.6,内流流域,endorheic watershed,径流不能流入海洋的流域。,
2.5.1.7,内流区,endorheic drainage area,流域内地表径流汇集不与海洋或外流河相通的区域。,
2.5.1.8,流域下垫面,underlying surface of watershed,流域的地表特征，包括地貌、地形、地质、土壤、植被、水系等。,注：是影响气候和水文循环过程的重要因素之一。
2.5.2,流域几何特征,geometric characteristics of watershed,流域的形状、面积、长度、平均高程、平均宽度、平均坡度、不对称系数等的总称。,
2.5.2.1,流域形状系数,shape factor of watershed,,注：系数大时，表明流域外形接近方形，流域汇流速度较快；系数小时，表明流域外形接近长条形，；流域汇流速度较慢。
2.5.2.2,流域面积,area of watershed,流域地面分水线与河口断面之间所包围的平面面积。,
2.5.2.2,集水面积,drainage area,流域地面分水线与河口断面之间所包围的平面面积。,
2.5.2.3,流域长度,length of watershed,从流域出口断面至分水线的最长直线距离。,
2.5.2.4,流域平均宽度,mean width of watershed,,
2.5.2.5,流域平均高程,mean elevation of watershed,流域内各相邻等高线间的面积乘以其相应平均高程乘积之和与流域面积的比值。,
2.5.2.6,流域平均坡度,mean slope of watershed,流域内最高与最低等高线长度的一半及各等高线长度乘以等高线间的高差乘积之和与 流域面积的比值。,
2.5.2.7,流域不对称系数,asymmetric coefficient of watershed,流域内干流左右两岸流域面积之差与两岸流域平均面积的比值。,
2.5.2.8,流域面积增长率,growth ratio of watershed area,沿干流自上而下单位河长增长的部分流域面积与全流域面积的比值。,
2.5.2.9,流域形态,watershed morphology,流域的面积、形状、坡度、河道纵横剖面等特征的总称。,
2.5.3,流域结构特征,structural characteristics of watershed,流域的河网密度、河道维持常数、河流频度、河链频度等的总称。,
2.5.3.1,河网密度,drainage density,流域内干支流总河长与流域面积的比值。,
2.5.3.2,河道维持常数,channel maintenance constant,,注：即为了维持单位河长需要多少集水面积。
2.5.3.3,河流频度,stream density,流域中的河流数与流域面积的比值。,
2.5.3.4,河链频度,stream chain density,流域中的河链数与流域面积的比值。2.5.4 流域自然地理特征 physiographical characteristics of watershed 流域的地理位置、气候条件、土壤与岩土性质、地质构造、地形、地貌、植被以及湖泊、沼泽等的总称。,
2.5.5,水系,drainage pattern；drainage system；river system,流域内所有河流、湖泊、沼泽等水体组成的水网系统。,
2.5.5.1,树枝状水系,dendritic drainage pattern,,注：如西江上游接纳柳江、郁江、桂江等支流。
2.5.5.2,扇状水系,fan-shaped drainage pattern,干支流组合而成的流域轮廓形如扇状的水系。,注：如海河水系。这种水系汇流时间集中，易造成暴雨成灾。
2.5.5.3,羽状水系,pinnate drainage pattern,干流两侧支流分布较均匀，近似羽毛状排列的水系。,注：如西南纵谷地区，干流粗壮，支流短小且对称分布于两侧。这种水系汇流时间较长，暴雨过后洪；水过程缓慢。
